rank,id,symbol,name,current_price_usd,market_cap_usd,total_volume_usd,price_change_24h_pct
1,bitcoin,btc,Bitcoin,64094,1285865118155,18950055990,1.31101
2,ethereum,eth,Ethereum,1841.4,222283020453,5275168421,0.82852
3,tether,usdt,Tether,0.999238,184091095061,28360509555,0.01239
4,binancecoin,bnb,BNB,569.63,75859411973,460046860,1.42969
5,usd-coin,usdc,USDC,0.999895,73284084499,6670859690,-0.00332
6,ripple,xrp,XRP,1.086,67860180089,708682400,0.266
7,solana,sol,Solana,74.73,43527199428,1055809788,0.2993
8,tron,trx,TRON,0.323503,30691472128,259462238,0.14296
9,figure-heloc,figr_heloc,Figure Heloc,1.026,20644598954,170341375,0.68608
10,hyperliquid,hype,Hyperliquid,58.78,13074983949,333064355,-3.07126
11,dogecoin,doge,Dogecoin,0.072168,11196267102,335331182,0.09487
12,usds,usds,USDS,0.99983,10026911733,99002553,-0.0038
13,zcash,zec,Zcash,546.13,9170434989,327527719,0.55164
14,rain,rain,Rain,0.01380474,9136074800,22093326,-2.30498
15,leo-token,leo,LEO Token,9.79,9008364527,257386,-0.04332
16,whitebit,wbt,WhiteBIT Coin,55.85,6588819467,43410431,1.11041
17,stellar,xlm,Stellar,0.185598,6340137910,109156052,-0.52532
18,monero,xmr,Monero,330.11,6199395212,66092839,1.93982
19,chainlink,link,Chainlink,8.28,6191435940,162937753,1.55013
20,cardano,ada,Cardano,0.164383,6127994930,371652049,1.90252
21,canton-network,cc,Canton,0.12501,4887420327,9520485,-3.50724
22,dai,dai,Dai,0.999748,4641668563,92068601,-0.00521
23,bitcoin-cash,bch,Bitcoin Cash,220.15,4416636983,99692894,0.81535
24,usd1-wlfi,usd1,USD1,0.999344,4252509588,550920431,0.02316
25,the-open-network,gram,Gram (prev. Toncoin),1.48,4025294254,24093183,-4.10207
26,ethena-usde,usde,Ethena USDe,0.999821,4023702991,48581171,0.01277
27,litecoin,ltc,Litecoin,45.76,3539972839,207407538,2.38074
28,global-dollar,usdg,Global Dollar,1.002,3204697305,227256824,-0.21768
29,hashnote-usyc,usyc,Circle USYC,1.13,3005628567,24998,0.0
30,sui,sui,Sui,0.733026,2970056388,119590117,-0.15031
31,hedera-hashgraph,hbar,Hedera,0.066363,2906021026,36366697,0.2128
32,paypal-usd,pyusd,PayPal USD,0.999763,2894387975,28709228,-0.00605
33,crypto-com-chain,cro,Cronos,0.059802,2835326934,19718889,3.8072
34,avalanche-2,avax,Avalanche,6.55,2827501677,117783034,0.84733
35,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2632725630,0.0,0.0
36,near,near,NEAR Protocol,1.91,2483205625,120356590,-1.6416
37,tether-gold,xaut,Tether Gold,4009.79,2457293186,92242557,0.42728
38,shiba-inu,shib,Shiba Inu,4.15e-06,2446191522,49470735,0.66271
39,uniswap,uni,Uniswap,3.5,2188363934,141762237,-0.28666
40,ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,1.14,2152044192,1646358,0.165
41,bittensor,tao,Bittensor,191.91,1841942543,68998279,-0.20948
42,world-liberty-financial,wlfi,World Liberty Financial,0.057299,1820636346,23404721,0.18164
43,pax-gold,paxg,PAX Gold,4008.42,1799325806,56665330,0.40341
44,okb,okb,OKB,80.89,1698172203,12445317,0.76501
45,dexe,dexe,DeXe,36.08,1688122635,88412957,3.43783
46,aster-2,aster,Aster,0.620525,1666399497,55060226,0.4322
47,ondo-finance,ondo,Ondo,0.339404,1652421627,180437346,-9.37085
48,htx-dao,htx,HTX DAO,1.83e-06,1639891123,24966372,0.41129
49,memecore,m,MemeCore,1.24,1638413398,11057039,-0.57848
50,ripple-usd,rlusd,Ripple USD,1.0,1531405609,58306539,-0.00752
51,usdd,usdd,USDD,0.999239,1508485116,85953489,0.0263
52,falcon-finance,usdf,Falcon USD,0.995368,1418867472,337631,0.03321
53,polkadot,dot,Polkadot,0.832686,1410400809,75348312,-1.78746
54,sky,sky,Sky,0.059223,1382043655,11192934,-1.31421
55,mantle,mnt,Mantle,0.415225,1371195628,27326181,-5.11995
56,aave,aave,Aave,88.03,1336255108,172090713,-3.66325
57,bfusd,bfusd,BFUSD,0.998451,1317955769,2045245,0.02389
58,worldcoin-wld,wld,Worldcoin,0.36938,1308682097,120889114,-2.39341
59,morpho,morpho,Morpho,1.99,1302741685,15333509,-2.18832
60,internet-computer,icp,Internet Computer,2.14,1186089924,22246461,-0.00333
61,bitget-token,bgb,Bitget Token,1.64,1151292310,6840540,0.61788
62,pepe,pepe,Pepe,2.72e-06,1145112383,100093443,-0.09395
63,ethereum-classic,etc,Ethereum Classic,7.04,1108353285,34904033,0.91842
64,united-stables,u,United Stables,1.0,1050426626,3182014,-0.01666
65,usdgo,usdgo,USDGO,1.0,1000826898,9811277,0.01738
66,eutbl,eutbl,Spiko EU T-Bills Money Market Fund,1.21,996244646,0.0,-0.01621
67,blockchain-capital,bcap,Blockchain Capital,106.19,967615067,0.0,0.0
68,quant-network,qnt,Quant,64.62,939601425,8465119,-3.84604
69,kucoin-shares,kcs,KuCoin,6.65,912953163,2558917,0.04087
70,pi-network,pi,Pi Network,0.082982,907683978,13120542,2.05523
71,stable-2,stable,​​Stable,0.03574467,879485850,12984972,-0.63513
72,janus-henderson-anemoy-treasury-fund,jtrsy,Janus Henderson Anemoy Treasury Fund,1.11,869768507,0.0,0.00928
73,polygon-ecosystem-token,pol,POL (ex-MATIC),0.081317,868483087,30395166,-2.64347
74,spiko-amundi-overnight-swap-fund-eur,eursafo,Spiko Amundi Overnight Swap Fund (EUR),1.15,830559404,0.0,0.03244
75,adi-token,adi,ADI,6.56,822745474,6504252,-1.83727
76,just,jst,JUST,0.098227,804356431,16598594,0.06616
77,cosmos,atom,Cosmos Hub,1.49,773463955,21071739,-1.74228
78,ethena,ena,Ethena,0.08029,767652639,95819989,-0.79447
79,superstate-short-duration-us-government-securities-fund-ustb,ustb,Invesco Short Duration US Government Securities Fund,11.15,765047874,0.0,0.0
80,kaspa,kas,Kaspa,0.02769366,761195058,6261120,-0.82261
81,render-token,render,Render,1.46,758346925,16676074,-0.6737
82,nexo,nexo,NEXO,0.745568,745545084,3267741,-0.53019
83,audiera,beat,Audiera,2.4,743836031,6349194,-4.40145
84,algorand,algo,Algorand,0.081908,734561357,15806712,-0.80574
85,gatechain-token,gt,Gate,6.7,713438570,1317746,1.24899
86,bianrensheng,币安人生,币安人生 (BinanceLife),0.688374,689389965,14332149,-2.11549
87,janus-henderson-anemoy-aaa-clo-fund,jaaa,Janus Henderson Anemoy AAA CLO Fund,1.041,686046157,0.0,0.0
88,pump-fun,pump,Pump.fun,0.00164794,659748668,41287017,-1.82175
89,beldex,bdx,Beldex,0.082244,647256304,13492542,-2.18283
90,jupiter-exchange-solana,jup,Jupiter,0.193709,643071586,25099679,-0.95446
91,gho,gho,GHO,0.998817,598326138,4023958,0.02083
92,filecoin,fil,Filecoin,0.743126,594475432,35356390,-2.89044
93,arbitrum,arb,Arbitrum,0.089821,571428340,52749844,1.53617
94,flare-networks,flr,Flare,0.00648852,563481835,2482369,-0.80134
95,ylds,ylds,YLDS,0.999905,557724039,8873965,-0.00289
96,xdce-crowd-sale,xdc,XDC Network,0.02789383,556410374,5031143,-0.64317
97,usual-usd,usd0,Usual USD,0.998804,552504590,415819,-0.00396
98,lighter,lit,Lighter,2.19,547047733,24177986,-0.05743
99,venice-token,vvv,Venice Token,11.47,543254899,28642547,11.03089
100,usx,usx,USX,0.999894,522932965,1130215,-0.00298
